Rank,Team,Statistic
1,Boston,10.7
2,Okla City,7.3
3,Minnesota,6.1
4,Denver,4.3
5,New York,3.7
6,New Orleans,3.4
7,Philadelphia,2.8
8,LA Clippers,2.6
9,Indiana,2.5
10,Golden State,2.3
11,Dallas,2.3
12,Milwaukee,2.3
13,Phoenix,2.2
14,Orlando,2.2
15,Sacramento,1.9
16,Cleveland,1.4
17,Houston,1.1
18,Miami,1.0
19,LA Lakers,0.6
20,Chicago,-1.5
21,Atlanta,-2.3
22,Brooklyn,-2.9
23,Utah,-4.9
24,Toronto,-6.4
25,San Antonio,-6.5
26,Memphis,-7.0
27,Portland,-9.0
28,Detroit,-9.1
29,Washington,-9.3
30,Charlotte,-10.2
