Rank,Team,Statistic
1,Minnesota,1.061
2,Orlando,1.070
3,Boston,1.078
4,Okla City,1.079
5,Miami,1.090
6,Cleveland,1.092
7,New Orleans,1.093
8,Denver,1.096
9,Houston,1.096
10,Philadelphia,1.101
11,New York,1.104
12,Memphis,1.106
13,Dallas,1.112
14,Phoenix,1.113
15,Sacramento,1.114
16,Golden State,1.116
17,LA Lakers,1.118
18,LA Clippers,1.118
19,Brooklyn,1.124
20,Milwaukee,1.125
21,Chicago,1.127
22,San Antonio,1.130
23,Portland,1.133
24,Indiana,1.144
25,Detroit,1.151
26,Toronto,1.151
27,Atlanta,1.156
28,Washington,1.161
29,Utah,1.163
30,Charlotte,1.164
