Rank,Team,Statistic
1,Chicago,0.8029999999999999
2,Milwaukee,0.802
3,New Orleans,0.8
4,LA Lakers,0.7979999999999999
5,Utah,0.79
6,Denver,0.79
7,New York,0.7879999999999999
8,LA Clippers,0.7879999999999999
9,Phoenix,0.784
10,Philadelphia,0.7829999999999999
11,Orlando,0.782
12,Memphis,0.78
13,Okla City,0.779
14,Boston,0.778
15,Dallas,0.777
16,Washington,0.7759999999999999
17,Atlanta,0.774
18,Miami,0.773
19,San Antonio,0.773
20,Portland,0.772
21,Houston,0.7709999999999999
22,Brooklyn,0.769
23,Detroit,0.768
24,Minnesota,0.768
25,Cleveland,0.7659999999999999
26,Golden State,0.765
27,Toronto,0.763
28,Charlotte,0.757
29,Indiana,0.7509999999999999
30,Sacramento,0.75
