Rank,Team,Statistic
1,Indiana,0.5760000000000001
2,Boston,0.574
3,Okla City,0.569
4,Milwaukee,0.5660000000000001
5,LA Lakers,0.564
6,Phoenix,0.564
7,LA Clippers,0.5579999999999999
8,Dallas,0.5579999999999999
9,Denver,0.556
10,Golden State,0.556
11,Minnesota,0.556
12,Sacramento,0.5539999999999999
13,New Orleans,0.552
14,Cleveland,0.551
15,Atlanta,0.539
16,Utah,0.539
17,Washington,0.5379999999999999
18,New York,0.537
19,Orlando,0.537
20,Miami,0.536
21,Toronto,0.535
22,Chicago,0.534
23,San Antonio,0.532
24,Philadelphia,0.531
25,Brooklyn,0.531
26,Charlotte,0.529
27,Houston,0.529
28,Detroit,0.526
29,Memphis,0.509
30,Portland,0.503
