Rank,Team,Statistic
1,Philadelphia,0.23
2,New Orleans,0.225
3,Washington,0.223
4,Atlanta,0.212
5,Detroit,0.21
6,LA Lakers,0.209
7,Cleveland,0.201
8,Brooklyn,0.19899999999999998
9,Minnesota,0.19899999999999998
10,San Antonio,0.196
11,Houston,0.196
12,Sacramento,0.196
13,Utah,0.195
14,Miami,0.19399999999999998
15,Portland,0.193
16,Dallas,0.193
17,New York,0.192
18,Orlando,0.191
19,Toronto,0.19
20,Boston,0.18899999999999997
21,Okla City,0.187
22,Charlotte,0.18600000000000003
23,LA Clippers,0.185
24,Golden State,0.185
25,Memphis,0.185
26,Milwaukee,0.182
27,Indiana,0.18
28,Denver,0.17600000000000002
29,Phoenix,0.17300000000000001
30,Chicago,0.156
