Rank,Team,Statistic
1,Minnesota,0.519
2,Boston,0.524
3,Okla City,0.527
4,Denver,0.528
5,Cleveland,0.5329999999999999
6,Houston,0.5329999999999999
7,Philadelphia,0.534
8,Phoenix,0.536
9,Golden State,0.539
10,Orlando,0.539
11,Milwaukee,0.54
12,LA Clippers,0.54
13,New Orleans,0.541
14,Dallas,0.541
15,Miami,0.542
16,Brooklyn,0.5429999999999999
17,LA Lakers,0.547
18,New York,0.547
19,Memphis,0.551
20,Indiana,0.5529999999999999
21,Sacramento,0.555
22,San Antonio,0.555
23,Chicago,0.556
24,Portland,0.5579999999999999
25,Detroit,0.5579999999999999
26,Washington,0.562
27,Toronto,0.5660000000000001
28,Utah,0.5670000000000001
29,Charlotte,0.5720000000000001
30,Atlanta,0.573
