Rank,Team,Statistic
1,New York,0.258
2,Denver,0.247
3,Cleveland,0.24600000000000002
4,LA Lakers,0.24600000000000002
5,New Orleans,0.243
6,LA Clippers,0.24100000000000002
7,Charlotte,0.239
8,Boston,0.239
9,Philadelphia,0.237
10,Brooklyn,0.235
11,Dallas,0.235
12,Memphis,0.23199999999999998
13,Chicago,0.228
14,Detroit,0.226
15,Houston,0.22399999999999998
16,Orlando,0.22399999999999998
17,Phoenix,0.222
18,Minnesota,0.221
19,Portland,0.22
20,Washington,0.22
21,Sacramento,0.218
22,Atlanta,0.21600000000000003
23,Toronto,0.21600000000000003
24,Golden State,0.215
25,Utah,0.212
26,Milwaukee,0.207
27,Miami,0.205
28,Indiana,0.203
29,San Antonio,0.195
30,Okla City,0.192
