Rank,Team,Statistic
1,Philadelphia,0.11900000000000001
2,Houston,0.12
3,LA Lakers,0.121
4,Detroit,0.122
5,Portland,0.12300000000000001
6,New York,0.125
7,New Orleans,0.125
8,Milwaukee,0.126
9,San Antonio,0.126
10,Memphis,0.127
11,Denver,0.128
12,Phoenix,0.129
13,Brooklyn,0.13
14,Atlanta,0.13
15,Okla City,0.13
16,Golden State,0.13
17,Cleveland,0.131
18,Chicago,0.131
19,Miami,0.132
20,Utah,0.133
21,Dallas,0.133
22,Toronto,0.134
23,Charlotte,0.13699999999999998
24,Washington,0.13699999999999998
25,Indiana,0.139
26,Orlando,0.139
27,Sacramento,0.142
28,Boston,0.142
29,LA Clippers,0.14800000000000002
30,Minnesota,0.14800000000000002
