team,player,position,estimated_return_date,status,comment
Atlanta Hawks,Trae Young,PG,Feb 7,Day-To-Day,"Feb 6: Young (Achilles) is listed as probable for Friday's game versus the Bucks, Brad Rowland of the Locked On Podcast Network reports."
Atlanta Hawks,Clint Capela,C,Feb 8,Out,"Feb 6: Capela (personal) is out for Friday's game against the Bucks, Brad Rowland of the Locked On Podcast Network reports."
Atlanta Hawks,Bones Hyland,PG,Feb 7,Day-To-Day,"Feb 6: The Clippers traded Hyland and Terance Mann to the Hawks on Thursday in exchange for Bogdan Bogdanovic, ESPN's Shams Charania reports."
Atlanta Hawks,Terance Mann,SG,Feb 7,Day-To-Day,"Feb 6: The Clippers traded Mann and Bones Hyland to the Hawks on Thursday in exchange for Bogdan Bogdanovic, ESPN's Shams Charania reports."
Atlanta Hawks,Georges Niang,SF,Feb 7,Day-To-Day,"Feb 6: The Cavaliers traded Niang and Caris LeVert along with draft picks to the Hawks on Thursday in exchange for De'Andre Hunter, ESPN's Shams Charania reports."
Atlanta Hawks,Caris LeVert,SG,Feb 7,Day-To-Day,"Feb 6: The Cavaliers traded LeVert, Georges Niang, three second-round picks and two swaps for De'Andre Hunter on Thursday, ESPN's Shams Charania reports."
Atlanta Hawks,Daeqwon Plowden,G,Feb 8,Out,Feb 6: The Hawks transferred Ploweden from the G League's College Park Skyhawks on Friday.
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out,"Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday."
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports."
Boston Celtics,Jrue Holiday,PG,Feb 8,Out,"Feb 6: Holiday is out for Thursday's game versus the Mavericks, Taylor Snow of the Celtics' official site reports."
Brooklyn Nets,Bojan Bogdanovic,SF,Feb 20,Out,Feb 6: Bogdanovic (foot) won't play in Friday's game versus the Heat.
Brooklyn Nets,Noah Clowney,F,Feb 20,Out,Jan 31: The Nets announced Friday that Clowney will likely remain out through the All-Star break due to a left ankle sprain.
Brooklyn Nets,Cam Thomas,SG,Feb 20,Out,Jan 31: The Nets announced Friday that Thomas (hamstring) had a follow-up MRI that revealed appropriate healing. He will continue to progress with individual on-court workouts and is expected to return shortly after the All-Star break.
Brooklyn Nets,Maxwell Lewis,F,Feb 20,Out,"Jan 3: The Nets announced Friday that Lewis has suffered a fractured left tibia and his return timetable is to be determined, Erik Slater of ClutchPoints.com reports."
Charlotte Hornets,Dalton Knecht,G,Feb 7,Day-To-Day,"Feb 6: The Lakers traded Knecht and Cam Reddish (personal) to the Hornets on Wednesday as part of a deal that sent Mark Williams to the Lakers, Shams Charania of ESPN reports."
Chicago Bulls,Dalen Terry,F,Feb 8,Day-To-Day,"Feb 6: Updating a previous report, Terry (knee) has now been ruled out for Wednesday's game against the Timberwolves, Julia Poe of the Chicago Tribune reports."
Chicago Bulls,Tre Jones,PG,Feb 8,Day-To-Day,"Feb 6: Head coach Billy Donovan said Tuesday that Jones (recently traded) won't play until Saturday's game against Golden State at the earliest, Cody Westerlund of 670TheScore.com reports."
Chicago Bulls,Kevin Huerter,SG,Feb 8,Day-To-Day,"Feb 6: Huerter (recently traded) won't be available for the Bulls until Saturday's game versus the Warriors at the earliest, Cody Westerlund of 670TheScore.com reports."
Chicago Bulls,Lonzo Ball,PG,Feb 8,Day-To-Day,"Feb 6: Ball has reportedly signed a two-year, $20 million contract extension with the Bulls on Wednesday,Shams Charania of ESPN reports."
Chicago Bulls,Adama Sanogo,C,Feb 8,Day-To-Day,Feb 6: Sanogo (knee) will not play Wednesday against the Timberwolves.
