team,total_player_score
Oklahoma City Thunder,188.357
Memphis Grizzlies,157.39
Los Angeles Clippers,136.854
Boston Celtics,167.708
Indiana Pacers,125.442
Minnesota Timberwolves,132.275
Sacramento Kings,131.237
San Antonio Spurs,124.786
Houston Rockets,142.163
Charlotte Hornets,103.555
Denver Nuggets,129.204
New York Knicks,137.757
Los Angeles Lakers,124.49
Detroit Pistons,133.563
Golden State Warriors,152.291
Phoenix Suns,116.464
Utah Jazz,107.61
Brooklyn Nets,98.532
Portland Trail Blazers,87.638
Orlando Magic,114.423
Dallas Mavericks,111.826
Philadelphia 76ers,101.328
Cleveland Cavaliers,139.692
Toronto Raptors,91.42
Miami Heat,122.815
Chicago Bulls,111.386
Milwaukee Bucks,117.565
Atlanta Hawks,103.703
New Orleans Pelicans,73.464
Washington Wizards,68.346
