Team,Wins,Losses,HSS
Milwaukee,44,36,459.29100
LA Clippers,39,41,460.27800
Detroit,39,41,458.19400
Charlotte,7,73,435.32600
Portland,5,75,435.03100
Indiana,40,40,459.30600
LA Lakers,30,50,455.29900
Brooklyn,37,43,459.83100
Cleveland,72,8,477.98300
Washington,0,80,424.58900
Utah,21,59,450.67500
Atlanta,47,33,463.83900
Phoenix,37,43,461.80300
New Orleans,6,74,431.06900
Memphis,80,0,491.41100
Denver,63,17,473.04100
Okla City,40,40,460.75300
Dallas,58,22,471.89900
Boston,67,13,474.29900
New York,71,9,476.33400
Sacramento,35,45,461.46400
San Antonio,21,59,451.70800
Chicago,29,51,454.06300
Minnesota,19,61,452.10000
Miami,11,69,445.37200
Orlando,56,24,470.74900
Golden State,56,24,469.58500
Philadelphia,7,73,435.76800
Toronto,41,39,463.39900
Houston,38,42,459.49500
